卷 O
五 O
· O
秦 O
本 O
纪 O
第 O
五 O
秦 O
之 O
先 O
， O
帝 B-PER
颛 I-PER
顼 I-PER
之 O
苗 O
裔 O
孙 O
曰 O
女 B-PER
脩 I-PER
。 O
女 B-PER
脩 I-PER
织 O
， O
玄 O
鸟 O
陨 O
卵 O
， O
女 B-PER
脩 I-PER
吞 O
之 O
， O
生 O
子 O
大 B-PER
业 I-PER
。 O
大 B-PER
业 I-PER
取 O
少 B-PER
典 I-PER
之 O
子 O
， O
曰 O
女 B-PER
华 I-PER
。 O
女 B-PER
华 I-PER
生 O
大 B-PER
费 I-PER
， O
与 O
禹 B-PER
平 O
水 O
土 O
。 O
已 O
成 O
， O
帝 B-PER
锡 O
玄 O
圭 O
。 O
禹 B-PER
受 O
曰 O
“ O
非 O
予 O
能 O
成 O
， O
亦 O
大 B-PER
费 I-PER
为 O
辅 O
” O
帝 B-PER
舜 I-PER
曰 O
“ O
咨 O
尔 O
费 B-PER
， O
赞 O
禹 B-PER
功 O
， O
其 O
赐 O
尔 O
皂 O
游 O
。 O
尔 O
后 O
嗣 O
将 O
大 O
出 O
” O
乃 O
妻 O
之 O
姚 O
姓 O
之 O
玉 O
女 O
。 O
# O
大 B-PER
费 I-PER
拜 O
受 O
， O
佐 O
舜 B-PER
调 O
驯 O
鸟 O
兽 O
， O
鸟 O
兽 O
多 O
驯 O
服 O
， O
是 O
为 O
柏 B-PER
翳 I-PER
。 O
舜 B-PER
赐 O
姓 O
嬴 B-PER
氏 I-PER
。 O
大 B-PER
费 I-PER
生 O
子 O
二 O
人 O
： O
一 O
曰 O
大 B-PER
廉 I-PER
， O
实 O
鸟 B-PER
俗 I-PER
氏 I-PER
。 O
二 O
曰 O
若 B-PER
木 I-PER
， O
实 O
费 B-PER
氏 I-PER
。 O
其 O
玄 O
孙 O
曰 O
费 B-PER
昌 I-PER
， O
子 O
孙 O
或 O
在 O
中 B-LOC
国 I-LOC
， O
或 O
在 O
夷 B-LOC
狄 I-LOC
。 O
# O
费 B-PER
昌 I-PER
当 O
夏 B-PER
桀 I-PER
之 O
时 O
， O
去 O
夏 O
归 O
商 O
， O
为 O
汤 O
御 O
， O
以 O
败 O
桀 B-PER
於 O
鸣 B-LOC
条 I-LOC
。 O
大 B-PER
廉 I-PER
玄 O
孙 O
曰 O
孟 B-PER
戏 I-PER
、 O
中 B-PER
衍 I-PER
， O
鸟 O
身 O
人 O
言 O
。 O
帝 B-PER
太 I-PER
戊 I-PER
闻 O
而 O
卜 O
之 O
使 O
御 O
， O
吉 O
， O
遂 O
致 O
使 O
御 O
而 O
妻 O
之 O
。 O
自 O
太 B-PER
戊 I-PER
以 O
下 O
， O
中 B-PER
衍 I-PER
之 O
后 O
， O
遂 O
世 O
有 O
功 O
， O
以 O
佐 O
殷 O
国 O
， O
故 O
嬴 B-PER
姓 I-PER
多 O
显 O
， O
遂 O
为 O
诸 O
侯 O
。 O
其 O
玄 O
孙 O
曰 O
中 B-PER
潏 I-PER
， O
在 O
西 B-LOC
戎 I-LOC
， O
保 O
西 B-LOC
垂 I-LOC
。 O
生 O
蜚 B-PER
廉 I-PER
。 O
蜚 B-PER
廉 I-PER
生 O
恶 B-PER
来 I-PER
。 O
# O
恶 O
来 O
有 O
力 O
， O
蜚 B-PER
廉 I-PER
善 O
走 O
， O
父 O
子 O
俱 O
以 O
材 O
力 O
事 O
殷 B-PER
纣 I-PER
。 O
周 B-PER
武 I-PER
王 I-PER
之 O
伐 O
纣 B-PER
， O
并 O
杀 O
恶 B-PER
来 I-PER
。 O
是 O
时 O
蜚 B-PER
廉 I-PER
为 O
纣 B-PER
石 O
北 O
方 O
， O
还 O
， O
无 O
所 O
报 O
， O
为 O
坛 O
霍 B-LOC
太 I-LOC
山 I-LOC
而 O
报 O
， O
得 O
石 O
棺 O
， O
铭 O
曰 O
“ O
帝 O
令 O
处 O
父 O
不 O
与 O
殷 O
乱 O
， O
赐 O
尔 O
石 O
棺 O
以 O
华 O
氏 O
” O
。 O
死 O
， O
遂 O
葬 O
於 O
霍 B-LOC
太 I-LOC
山 I-LOC
。 O
蜚 B-PER
廉 I-PER
复 O
有 O
子 O
曰 O
季 B-PER
胜 I-PER
。 O
季 B-PER
胜 I-PER
生 O
孟 B-PER
